time,open,close,high,low,volume
1534405080000,0.0309,0.0309,0.0309,0.0309,3545.0
1534464780000,0.030074,0.030074,0.030074,0.030074,4845.32780366
1534465620000,0.030223000000000007,0.030337,0.030337,0.030223000000000007,6125.71759699
1534468200000,0.0323,0.033,0.033,0.0323,37181.51499865
1534468320000,0.0338,0.0338,0.0338,0.0338,999.0
1534473840000,0.0339,0.0339,0.0339,0.0339,4995.0
1534474140000,0.034,0.034,0.034,0.034,659.34
1534474800000,0.033838,0.033838,0.033838,0.033838,1100.0
1534476600000,0.0345,0.034793,0.035446,0.0345,17668.22855499
1534479420000,0.035006,0.035006,0.035006999999999996,0.035006,15707.02005128
1534479480000,0.035006,0.035006,0.035006,0.035006,428.62193372
1534482960000,0.035006,0.035006,0.035006,0.035006,634.79487887
1534484100000,0.033306,0.033305,0.033306,0.033305,40875.03237763
1534484340000,0.033145999999999995,0.033145999999999995,0.033145999999999995,0.033145999999999995,1141.0819999999999
1534484400000,0.033145999999999995,0.033145999999999995,0.033145999999999995,0.033145999999999995,691.33780629
1534504740000,0.035024,0.0394,0.0394,0.035024,14816.55254132
1534505940000,0.035179,0.035215,0.035215,0.035177999999999994,1365.69
1534513800000,0.036215,0.036215,0.036215,0.036215,2481.30537943
1534514160000,0.03522,0.035,0.03522,0.035,84805.97515573
1534514400000,0.038673,0.038673,0.038673,0.038673,1334.0
1534515300000,0.035006,0.035006,0.035006,0.035006,2000.0
1534515840000,0.035001,0.035001,0.035001,0.035001,595.472
1534516080000,0.035373,0.035372,0.035373,0.035372,589.9209999999998
1534523940000,0.035439,0.035439,0.035439,0.035439,5317.14712387
1534527300000,0.0394,0.039413,0.039413,0.0394,3364.21697682
1534527600000,0.039408,0.039452999999999995,0.039452999999999995,0.039408,9208.56052558
1534532880000,0.039,0.038,0.039,0.038,3206.275
1534532940000,0.037315,0.037315,0.037315,0.037315,2690.725
1534538880000,0.037718,0.037718,0.037718,0.037718,499.5
1534543560000,0.039452999999999995,0.039452999999999995,0.039452999999999995,0.039452999999999995,1047.4466101
1534544640000,0.039864,0.039864,0.039864,0.039864,1300.0
1534546440000,0.039894,0.039894,0.039894,0.039894,1838.59
1534546620000,0.039894,0.040153,0.040153,0.039894,5748.699000000001
1534546680000,0.040153,0.040153,0.040153,0.040153,0.00088661
1534547460000,0.042999,0.045,0.045,0.042999,1933.83801667
1534561260000,0.039534,0.039,0.039534,0.039,41737.49016436
1534561320000,0.038411,0.038411,0.038411,0.038411,16370.59294534
1534570500000,0.038416000000000006,0.038,0.038416000000000006,0.038,11176.58432446
1534575060000,0.035674000000000004,0.035601,0.035674000000000004,0.035601,2132.1271113000007
1534575300000,0.03556,0.03556,0.03556,0.03556,10000.0
1534575360000,0.035552999999999994,0.03555,0.035552999999999994,0.03555,18555.0
1534575480000,0.035372,0.035372,0.035372,0.035372,563.58355124
1534575540000,0.035001,0.035,0.035001,0.035,60986.32910264
1534575600000,0.035,0.035,0.035,0.035,34260.98959744
1534576080000,0.035001,0.035001,0.035001,0.035001,8682.99648282
1534582920000,0.03877,0.03877,0.03877,0.03877,280.0
1534597980000,0.035519,0.035519,0.035519,0.035519,2559.17059104
1534598040000,0.035519,0.035519,0.035519,0.035519,1510.27430957
1534600080000,0.035473000000000005,0.0352,0.035473000000000005,0.0352,17054.32651989
1534600260000,0.035001,0.035001,0.035001,0.035001,8125.51649798
1534600380000,0.0355,0.0355,0.0355,0.0355,2000.0
1534604280000,0.035505,0.035,0.035505,0.035,19691.0181885
1534604340000,0.034,0.034,0.034,0.034,1200.0
1534605840000,0.033145999999999995,0.03114,0.033145999999999995,0.03114,19979.54305465
1534612440000,0.0322,0.032,0.0322,0.032,4369.44490061
1534633620000,0.035736000000000004,0.035736000000000004,0.035736000000000004,0.035736000000000004,918.947
1534633680000,0.036174,0.036175,0.036175,0.036174,5042.562
1534674540000,0.037673000000000005,0.038328,0.038328,0.037673000000000005,1610.31766641
1534680360000,0.038329,0.038329,0.038329,0.038329,280.0
1534685940000,0.03833,0.0385,0.0385,0.03833,12448.25804011
1534686000000,0.0386,0.0386,0.0386,0.0386,4500.0
1534686240000,0.038986,0.038986,0.038986,0.038986,1699.9999
1534686300000,0.038596,0.038596,0.038596,0.038596,768.748
1534688340000,0.04,0.043,0.043,0.04,25004.76128322
1534690320000,0.038039,0.038039,0.038039,0.038039,1997.29893965
1534691280000,0.03741,0.03741,0.03741,0.03741,665.7339999999998
1534738020000,0.038434,0.038433,0.038434,0.038433,2705.41973791
1534738140000,0.038433,0.038433,0.038433,0.038433,783.5880000000003
1534759500000,0.034842000000000005,0.034842000000000005,0.034842000000000005,0.034842000000000005,279.44
1534761240000,0.041843,0.041843,0.041843,0.041843,1700.0
1534761420000,0.041843,0.041843,0.041843,0.041843,1100.0
1534803300000,0.034745,0.0344,0.034745,0.0344,2863.93713683
1534804980000,0.031403,0.031403,0.031403,0.031403,1458.54
1534807920000,0.033710000000000004,0.033710000000000004,0.033710000000000004,0.033710000000000004,1714.62833351
1534807980000,0.033708,0.033709,0.033709,0.033708,2135.1013647600007
1534832880000,0.034999,0.035,0.035,0.034999,490.0
1534832940000,0.035,0.035,0.035,0.035,1790.88512939
1534833000000,0.041099,0.041099,0.041099,0.041099,1500.0
1534833060000,0.041098,0.041956,0.041999,0.041093,3600.0
1534833120000,0.041956,0.041956,0.041956,0.041956,400.0
1534859760000,0.034101,0.0341,0.034101,0.0341,3594.70927389
1534861020000,0.0325,0.0325,0.0325,0.0325,168292.25718165
1534861080000,0.0325,0.033,0.033,0.0325,38246.91692146
1534861140000,0.033,0.033,0.033,0.033,24589.29796666
1534861260000,0.033,0.033,0.033,0.033,17564.55589373
1534861320000,0.033,0.033,0.033,0.033,20179.01745935
1534861380000,0.033,0.033,0.033,0.033,7595.42469515
1534861500000,0.033,0.033,0.033,0.033,10883.83714939
1534861560000,0.033,0.033,0.033,0.033,11261.26126126
1534861620000,0.033,0.033,0.033,0.033,72610.18394311
1534861740000,0.033,0.033,0.033,0.033,28777.24752824
1534880100000,0.035,0.035,0.035,0.035,4029.52129742
1534895340000,0.038459,0.038459,0.038459,0.038459,4307.33229329
1534900740000,0.038493,0.038493,0.038493,0.038493,1920.0700746
1534901520000,0.038109,0.03841,0.03841,0.038109,11787.40734966
1534901580000,0.03837,0.038407,0.03841,0.03837,11787.40734966
1534901640000,0.038497,0.038497,0.038497,0.038497,1720.84516475
1534902480000,0.038,0.038,0.038,0.038,1998.0
1534902720000,0.035410000000000004,0.035410000000000004,0.035410000000000004,0.035410000000000004,1782.18272114
1534913220000,0.038493,0.038493,0.038493,0.038493,765.92416195
1534922280000,0.038492,0.038492,0.038492,0.038492,1001.0
1534931880000,0.033162,0.033157,0.033162,0.033157,19720.582
1534948440000,0.035,0.035,0.035,0.035,1007.98
1534964040000,0.0338,0.0338,0.0338,0.0338,32962.22053668
1534970280000,0.033010000000000005,0.033010000000000005,0.033010000000000005,0.033010000000000005,2678.05146161
1534970520000,0.037809,0.038449,0.038449,0.037809,4950.0
